home_team,away_team,league,match_date,home_form,away_form,home_elo,away_elo,elo_diff,home_odds,draw_odds,away_odds,home_win_prob,draw_prob,away_win_prob,over_odds,under_odds,handi_size,handi_home,handi_away,match_result,over_2_5,btts,home_goals,away_goals,form3home,form3away,homeshots,awayshots,hometarget,awaytarget,homefouls,awayfouls,homecorners,awaycorners,homeyellow,awayyellow,homered,awayred,home_win_pred,draw_pred,away_win_pred,under_2_5_pred,over_2_5_pred,btts_no_pred,btts_yes_pred,match_result_pred,over_under_pred,btts_pred,over_under_actual,btts_actual,match_result_confidence,over_under_confidence,btts_confidence,match_result_confidence_bin,over_under_confidence_bin,btts_confidence_bin
Torino,Verona,I1,2023-01-04,0.6666666666666666,0.0,0.818145,0.7744249999999999,0.17488000000000012,1.85,3.6,4.42,0.5405405405405405,0.2777777777777778,0.22624434389140272,2.0,1.82,-0.5,1.85,2.05,D,0,1,1.0,1.0,0.4444444444444444,0.0,0.3,0.3333333333333333,0.1,0.06666666666666667,0.35,0.85,0.4,0.2,0.2,0.2,0.0,0.0,0.40843078761120477,0.49819637452309856,0.09337283786569672,0.8056995451341282,0.1943004548658718,0.6961569475733547,0.3038430524266453,D,Under,No,Under,Yes,0.49819637452309856,0.8056995451341282,0.6961569475733547,0-50%,80-90%,60-70%
Lecce,Lazio,I1,2023-01-04,0.4666666666666667,0.6,0.77203,0.8618049999999999,-0.3590999999999999,3.72,3.26,2.13,0.26881720430107525,0.3067484662576687,0.4694835680751174,2.3,1.63,0.3,2.08,1.82,H,1,1,2.0,1.0,0.7777777777777778,0.6666666666666666,0.36666666666666664,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.8,0.65,0.26666666666666666,0.2,0.6,0.4,0.0,0.0,0.5597591680105227,0.24454415294721177,0.19569667904226543,0.7150260605993372,0.28497393940066285,0.6119212621128053,0.3880787378871947,H,Under,No,Over,Yes,0.5597591680105227,0.7150260605993372,0.6119212621128053,50-60%,70-80%,60-70%
Roma,Bologna,I1,2023-01-04,0.3333333333333333,0.8,0.8665,0.803535,0.25186000000000014,1.63,3.87,5.72,0.6134969325153374,0.25839793281653745,0.17482517482517484,2.04,1.79,-0.8,1.82,2.08,H,0,0,1.0,0.0,0.2222222222222222,0.6666666666666666,0.4666666666666667,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.5,0.5,0.2,0.2,0.4,0.6,0.0,0.0,0.7082221907395573,0.20859826495299075,0.0831795443074525,0.6540942471701335,0.34590575282986646,0.6209408060266124,0.37905919397338766,H,Under,No,Under,No,0.7082221907395573,0.6540942471701335,0.6209408060266124,70-80%,60-70%,60-70%
Cremonese,Juventus,I1,2023-01-04,0.2,1.0,0.73625,0.884995,-0.5949800000000001,5.14,3.81,1.7,0.19455252918287938,0.26246719160104987,0.5882352941176471,1.98,1.85,0.8,1.98,1.92,A,0,0,0.0,1.0,0.2222222222222222,1.0,0.43333333333333335,0.6333333333333333,0.1,0.26666666666666666,0.6,0.6,0.2,0.5333333333333333,1.0,0.6,0.0,0.0,0.09552907385996147,0.15931787248589802,0.74515305365414,0.40688450687079425,0.5931154931292058,0.2648403548948447,0.7351596451051553,A,Over,Yes,Under,No,0.74515305365414,0.5931154931292058,0.7351596451051553,70-80%,50-60%,70-80%
Fiorentina,Monza,I1,2023-01-04,0.6,0.4,0.8235750000000001,0.7715,0.20830000000000018,1.72,3.88,4.85,0.5813953488372093,0.2577319587628866,0.2061855670103093,1.88,1.94,-0.8,1.92,1.98,D,0,1,1.0,1.0,0.6666666666666666,0.6666666666666666,0.7333333333333333,0.3333333333333333,0.2,0.1,0.55,0.65,0.6,0.06666666666666667,0.2,0.6,0.0,0.0,0.5375580862790539,0.2684998472517604,0.19394206646918577,0.4906564014447373,0.5093435985552627,0.4504380091886434,0.5495619908113566,H,Over,Yes,Under,Yes,0.5375580862790539,0.5093435985552627,0.5495619908113566,50-60%,50-60%,50-60%
Southampton,Nottm Forest,E0,2023-01-04,0.0,0.3333333333333333,0.828785,0.812385,0.06559999999999991,2.03,3.46,3.82,0.4926108374384237,0.28901734104046245,0.2617801047120419,2.02,1.8,-0.5,2.04,1.86,A,0,0,0.0,1.0,0.0,0.4444444444444444,0.26666666666666666,0.36666666666666664,0.0,0.03333333333333333,0.7,0.85,0.4,0.13333333333333333,0.4,0.4,0.0,0.0,0.33420708254004644,0.47035232953191203,0.1954405879280413,0.9559235603184216,0.04407643968157834,0.8119513763908912,0.18804862360910884,D,Under,No,Under,No,0.47035232953191203,0.9559235603184216,0.8119513763908912,0-50%,90-100%,80-90%
Leeds,West Ham,E0,2023-01-04,0.4666666666666667,0.0,0.85621,0.8743350000000001,-0.0725,2.62,3.52,2.65,0.38167938931297707,0.2840909090909091,0.37735849056603776,1.79,2.04,0.0,1.94,1.96,D,1,1,2.0,2.0,0.1111111111111111,0.0,0.4666666666666667,0.5,0.2,0.06666666666666667,0.55,0.9,0.5333333333333333,0.06666666666666667,0.6,0.2,0.0,0.0,0.31144994117401786,0.5008456237349944,0.18770443509098775,0.5305310506174374,0.46946894938256256,0.4828629340262768,0.5171370659737232,D,Under,Yes,Over,Yes,0.5008456237349944,0.5305310506174374,0.5171370659737232,50-60%,50-60%,50-60%
Inter,Napoli,I1,2023-01-04,0.8,1.0,0.92077,0.951785,-0.12405999999999995,2.3,3.44,3.12,0.4347826086956522,0.29069767441860467,0.3205128205128205,1.69,2.19,-0.3,2.0,1.9,H,0,0,1.0,0.0,0.6666666666666666,1.0,0.2,0.3,0.03333333333333333,0.06666666666666667,0.6,0.35,0.3333333333333333,0.26666666666666666,0.6,0.4,0.0,0.0,0.5410533661845062,0.26456969345634607,0.19437694035914768,0.9377787592605826,0.06222124073941737,0.7044075547581257,0.2955924452418743,H,Under,No,Under,No,0.5410533661845062,0.9377787592605826,0.7044075547581257,50-60%,90-100%,70-80%
Udinese,Empoli,I1,2023-01-04,0.2,0.4,0.834095,0.779085,0.22003999999999996,1.62,3.96,5.69,0.6172839506172839,0.25252525252525254,0.17574692442882248,1.69,2.19,-1.0,2.05,1.85,D,0,1,1.0,1.0,0.2222222222222222,0.6666666666666666,0.7,0.2,0.1,0.03333333333333333,0.75,0.7,0.5333333333333333,0.06666666666666667,0.4,0.6,0.0,0.2,0.35604017829695855,0.5367836212769294,0.10717620042611173,0.9111940623662744,0.08880593763372555,0.6912087243312739,0.3087912756687261,D,Under,No,Under,Yes,0.5367836212769294,0.9111940623662744,0.6912087243312739,50-60%,90-100%,60-70%
Aston Villa,Wolves,E0,2023-01-04,0.6,0.26666666666666666,0.86963,0.84292,0.10684000000000014,1.99,3.57,3.86,0.5025125628140703,0.2801120448179272,0.2590673575129534,2.05,1.78,-0.5,1.97,1.93,D,0,1,1.0,1.0,0.6666666666666666,0.3333333333333333,0.43333333333333335,0.3333333333333333,0.13333333333333333,0.1,0.3,0.6,0.4666666666666667,0.5333333333333333,0.2,0.6,0.0,0.0,0.4168512652299183,0.42931592873402225,0.15383280603605923,0.6715860826226785,0.32841391737732156,0.591951790915443,0.40804820908455697,D,Under,No,Under,Yes,0.42931592873402225,0.6715860826226785,0.591951790915443,0-50%,60-70%,50-60%
Crystal Palace,Tottenham,E0,2023-01-04,0.6,0.4666666666666667,0.8766900000000001,0.93639,-0.23879999999999973,3.34,3.48,2.19,0.29940119760479045,0.28735632183908044,0.4566210045662101,1.88,1.93,0.3,1.98,1.92,A,1,0,0.0,4.0,0.3333333333333333,0.4444444444444444,0.6333333333333333,0.4666666666666667,0.13333333333333333,0.2,0.55,0.4,0.6666666666666666,0.26666666666666666,0.2,0.4,0.0,0.0,0.11037887822343966,0.16996309247279165,0.7196580293037685,0.456028224052327,0.543971775947673,0.4065587037099466,0.5934412962900534,A,Over,Yes,Over,No,0.7196580293037685,0.543971775947673,0.5934412962900534,70-80%,50-60%,50-60%
Chelsea,Man City,E0,2023-01-05,0.26666666666666666,0.6666666666666666,0.9420850000000001,1.012165,-0.28031999999999974,5.17,4.03,1.66,0.19342359767891684,0.24813895781637715,0.6024096385542169,1.79,2.04,0.8,2.02,1.88,A,0,0,0.0,1.0,0.4444444444444444,0.4444444444444444,0.26666666666666666,0.4,0.06666666666666667,0.1,0.45,0.45,0.2,0.13333333333333333,0.4,0.0,0.0,0.0,0.07911873436086128,0.16090879686491966,0.7599724687742192,0.8204917539608627,0.17950824603913723,0.7051893408413838,0.2948106591586161,A,Under,No,Under,No,0.7599724687742192,0.8204917539608627,0.7051893408413838,70-80%,80-90%,70-80%
Elche,Celta,SP1,2023-01-06,0.06666666666666667,0.2,0.7725850000000001,0.8171649999999999,-0.1783199999999997,4.07,3.28,2.03,0.24570024570024568,0.3048780487804878,0.4926108374384237,2.39,1.59,0.5,1.88,2.05,A,0,0,0.0,1.0,0.0,0.2222222222222222,0.43333333333333335,0.4666666666666667,0.16666666666666666,0.23333333333333334,0.75,0.75,0.5333333333333333,0.26666666666666666,0.6,0.2,0.2,0.0,0.08035539344464818,0.14108415725056936,0.7785604493047825,0.3351921628379573,0.6648078371620427,0.26797376958403973,0.7320262304159603,A,Over,Yes,Under,No,0.7785604493047825,0.6648078371620427,0.7320262304159603,70-80%,60-70%,70-80%
Valencia,Cadiz,SP1,2023-01-06,0.26666666666666666,0.3333333333333333,0.84246,0.79895,0.17403999999999997,1.59,4.08,5.94,0.6289308176100629,0.24509803921568626,0.16835016835016833,1.9,1.93,-1.0,2.03,1.9,A,0,0,0.0,1.0,0.4444444444444444,0.2222222222222222,0.36666666666666664,0.2,0.06666666666666667,0.06666666666666667,0.7,1.05,0.8666666666666667,0.13333333333333333,1.0,1.2,0.0,0.0,0.24598482419533388,0.23799746078857292,0.5160177150160932,0.8285737643312076,0.17142623566879245,0.5925735289469181,0.4074264710530819,A,Under,No,Under,No,0.5160177150160932,0.8285737643312076,0.5925735289469181,50-60%,80-90%,50-60%
Fiorentina,Sassuolo,I1,2023-01-07,0.6666666666666666,0.06666666666666667,0.8235750000000001,0.8120700000000001,0.046019999999999985,1.72,3.95,4.75,0.5813953488372093,0.2531645569620253,0.21052631578947367,1.77,2.07,-0.8,1.92,1.98,H,1,1,2.0,1.0,0.4444444444444444,0.1111111111111111,0.4666666666666667,0.5666666666666667,0.16666666666666666,0.13333333333333333,0.7,0.45,0.4,0.2,0.8,0.6,0.0,0.0,0.6593186641511193,0.19946606355355045,0.14121527229533065,0.3938521681030577,0.6061478318969423,0.4036195521160939,0.5963804478839061,H,Over,Yes,Over,Yes,0.6593186641511193,0.6061478318969423,0.5963804478839061,60-70%,60-70%,50-60%
Villarreal,Real Madrid,SP1,2023-01-07,0.6,0.6666666666666666,0.8829049999999999,0.9772949999999999,-0.37755999999999995,3.34,3.83,2.09,0.29940119760479045,0.2610966057441253,0.47846889952153115,1.64,2.3,0.5,1.79,2.11,H,1,1,2.0,1.0,0.6666666666666666,0.6666666666666666,0.5666666666666667,0.43333333333333335,0.16666666666666666,0.1,0.65,0.3,0.4,0.3333333333333333,0.8,0.2,0.0,0.0,0.365643884674812,0.25454700014667925,0.37980911517850874,0.5117043436133173,0.48829565638668276,0.4920066945146,0.5079933054854,A,Under,Yes,Over,Yes,0.37980911517850874,0.5117043436133173,0.5079933054854,0-50%,50-60%,50-60%
Juventus,Udinese,I1,2023-01-07,1.0,0.26666666666666666,0.884995,0.834095,0.20359999999999992,1.78,3.75,4.66,0.5617977528089888,0.26666666666666666,0.2145922746781116,1.95,1.88,-0.8,2.01,1.89,H,0,0,1.0,0.0,1.0,0.2222222222222222,0.4666666666666667,0.36666666666666664,0.13333333333333333,0.1,0.8,0.65,0.4,0.26666666666666666,0.2,0.4,0.0,0.0,0.6066890211215362,0.2515560857320114,0.14175489314645234,0.6090826181634106,0.39091738183658936,0.5965214970471096,0.4034785029528904,H,Under,No,Under,No,0.6066890211215362,0.6090826181634106,0.5965214970471096,60-70%,60-70%,50-60%
Mallorca,Valladolid,SP1,2023-01-07,0.6666666666666666,0.4,0.811755,0.8089550000000001,0.011199999999999818,1.96,3.34,4.26,0.5102040816326531,0.29940119760479045,0.2347417840375587,2.36,1.6,-0.5,1.99,1.91,H,0,0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.43333333333333335,0.3,0.13333333333333333,0.03333333333333333,0.7,0.85,0.4,0.13333333333333333,0.4,0.6,0.0,0.0,0.6337252146880072,0.2497148789528443,0.11655990635914885,0.8346107487871983,0.16538925121280165,0.6610487455355041,0.338951254464496,H,Under,No,Under,No,0.6337252146880072,0.8346107487871983,0.6610487455355041,60-70%,80-90%,60-70%
Monza,Inter,I1,2023-01-07,0.4666666666666667,0.8,0.7715,0.92077,-0.5970799999999999,5.62,4.39,1.56,0.17793594306049823,0.22779043280182235,0.641025641025641,1.67,2.23,1.0,1.96,1.94,D,1,1,2.0,2.0,0.4444444444444444,1.0,0.43333333333333335,0.36666666666666664,0.13333333333333333,0.1,0.7,1.0,0.2,0.3333333333333333,0.0,0.6,0.0,0.0,0.21412017860285687,0.18953782875076688,0.5963419926463764,0.5631288472380928,0.43687115276190724,0.6029753102867728,0.3970246897132272,A,Under,No,Over,Yes,0.5963419926463764,0.5631288472380928,0.6029753102867728,50-60%,50-60%,60-70%
